real,pixel
11.17,185.0
11.2,185.0
11.15,186.0
11.16,186.0
11.17,186.0
11.21,186.0
11.14,187.0
11.190000000000001,188.0
11.15,191.0
11.2,196.0
11.21,204.0
11.18,205.0
11.190000000000001,205.0
11.2,205.0
11.100000000000001,207.0
11.11,207.0
11.120000000000001,207.0
11.129999999999999,207.0
11.08,208.0
11.100000000000001,208.0
11.11,208.0
11.129999999999999,208.0
11.16,208.0
11.18,208.0
11.190000000000001,208.0
11.04,209.0
11.06,209.0
11.09,209.0
11.11,209.0
11.120000000000001,209.0
11.15,209.0
11.21,209.0
11.120000000000001,210.0
7.32,219.0
7.390000000000001,219.0
7.46,219.0
7.34,220.0
7.29,221.0
7.12,222.0
7.26,222.0
7.16,223.0
7.17,224.0
7.21,224.0
7.0600000000000005,225.0
7.1,225.0
6.92,226.0
6.98,226.0
7.0,226.0
7.0600000000000005,226.0
7.08,226.0
7.08,226.0
7.12,226.0
7.17,226.0
6.9,227.0
7.07,227.0
7.1,227.0
7.11,227.0
7.11,227.0
7.680000000000001,227.0
7.74,227.0
7.79,227.0
7.88,227.0
7.91,227.0
7.95,227.0
8.0,227.0
6.470000000000001,228.0
6.86,228.0
7.050000000000001,228.0
7.1,228.0
7.11,228.0
7.12,228.0
7.140000000000001,228.0
7.15,228.0
7.16,228.0
7.17,228.0
7.19,228.0
7.25,228.0
7.5,228.0
7.57,228.0
7.72,228.0
6.4,229.0
6.44,229.0
6.49,229.0
6.5600000000000005,229.0
6.61,229.0
6.630000000000001,229.0
6.7,229.0
6.720000000000001,229.0
6.800000000000001,229.0
6.8100000000000005,229.0
6.84,229.0
7.07,229.0
7.09,229.0
7.1,229.0
7.12,229.0
7.2700000000000005,229.0
7.36,229.0
7.38,229.0
7.41,229.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.2,243.0
3.21,243.0
3.21,243.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
3.2,244.0
